Country Name,"Country Code","Series Name","Series Code","Time","Time Code","Value"
Afghanistan,"AFG","Urban population (% of total population)","SP.URB.TOTL.IN.ZS","1960","YR1960","8.401"
Afghanistan,"AFG","Urban population (% of total population)","SP.URB.TOTL.IN.ZS","1961","YR1961","8.684"
Afghanistan,"AFG","Urban population (% of total population)","SP.URB.TOTL.IN.ZS","1962","YR1962","8.976"
Afghanistan,"AFG","Urban population (% of total population)","SP.URB.TOTL.IN.ZS","1963","YR1963","9.276"
Afghanistan,"AFG","Urban population (% of total population)","SP.URB.TOTL.IN.ZS","1964","YR1964","9.586"
Afghanistan,"AFG","Urban population (% of total population)","SP.URB.TOTL.IN.ZS","1965","YR1965","9.904"
Afghanistan,"AFG","Urban population (% of total population)","SP.URB.TOTL.IN.ZS","1966","YR1966","10.233"
Afghanistan,"AFG","Urban population (% of total population)","SP.URB.TOTL.IN.ZS","1967","YR1967","10.57"
Afghanistan,"AFG","Urban population (% of total population)","SP.URB.TOTL.IN.ZS","1968","YR1968","10.918"
Afghanistan,"AFG","Urban population (% of total population)","SP.URB.TOTL.IN.ZS","1969","YR1969","11.275"
Afghanistan,"AFG","Urban population (% of total population)","SP.URB.TOTL.IN.ZS","1970","YR1970","11.643"
Afghanistan,"AFG","Urban population (% of total population)","SP.URB.TOTL.IN.ZS","1971","YR1971","12.021"
Afghanistan,"AFG","Urban population (% of total population)","SP.URB.TOTL.IN.ZS","1972","YR1972","12.41"
Afghanistan,"AFG","Urban population (% of total population)","SP.URB.TOTL.IN.ZS","1973","YR1973","12.809"
Afghanistan,"AFG","Urban population (% of total population)","SP.URB.TOTL.IN.ZS","1974","YR1974","13.219"
Afghanistan,"AFG","Urban population (% of total population)","SP.URB.TOTL.IN.ZS","1975","YR1975","13.641"
Afghanistan,"AFG","Urban population (% of total population)","SP.URB.TOTL.IN.ZS","1976","YR1976","14.074"
Afghanistan,"AFG","Urban population (% of total population)","SP.URB.TOTL.IN.ZS","1977","YR1977","14.517"
Afghanistan,"AFG","Urban population (% of total population)","SP.URB.TOTL.IN.ZS","1978","YR1978","14.973"
Afghanistan,"AFG","Urban population (% of total population)","SP.URB.TOTL.IN.ZS","1979","YR1979","15.442"
Afghanistan,"AFG","Urban population (% of total population)","SP.URB.TOTL.IN.ZS","1980","YR1980","15.995"
Afghanistan,"AFG","Urban population (% of total population)","SP.URB.TOTL.IN.ZS","1981","YR1981","16.562"
Afghanistan,"AFG","Urban population (% of total population)","SP.URB.TOTL.IN.ZS","1982","YR1982","17.147"
Afghanistan,"AFG","Urban population (% of total population)","SP.URB.TOTL.IN.ZS","1983","YR1983","17.747"
Afghanistan,"AFG","Urban population (% of total population)","SP.URB.TOTL.IN.ZS","1984","YR1984","18.365"
Afghanistan,"AFG","Urban population (% of total population)","SP.URB.TOTL.IN.ZS","1985","YR1985","18.997"
Afghanistan,"AFG","Urban population (% of total population)","SP.URB.TOTL.IN.ZS","1986","YR1986","19.647"
Afghanistan,"AFG","Urban population (% of total population)","SP.URB.TOTL.IN.ZS","1987","YR1987","20.314"
Afghanistan,"AFG","Urban population (% of total population)","SP.URB.TOTL.IN.ZS","1988","YR1988","20.998"
Afghanistan,"AFG","Urban population (% of total population)","SP.URB.TOTL.IN.ZS","1989","YR1989","21.088"
Afghanistan,"AFG","Urban population (% of total population)","SP.URB.TOTL.IN.ZS","1990","YR1990","21.177"
Afghanistan,"AFG","Urban population (% of total population)","SP.URB.TOTL.IN.ZS","1991","YR1991","21.266"
Afghanistan,"AFG","Urban population (% of total population)","SP.URB.TOTL.IN.ZS","1992","YR1992","21.355"
Afghanistan,"AFG","Urban population (% of total population)","SP.URB.TOTL.IN.ZS","1993","YR1993","21.444"
Afghanistan,"AFG","Urban population (% of total population)","SP.URB.TOTL.IN.ZS","1994","YR1994","21.534"
Afghanistan,"AFG","Urban population (% of total population)","SP.URB.TOTL.IN.ZS","1995","YR1995","21.624"
Afghanistan,"AFG","Urban population (% of total population)","SP.URB.TOTL.IN.ZS","1996","YR1996","21.714"
Afghanistan,"AFG","Urban population (% of total population)","SP.URB.TOTL.IN.ZS","1997","YR1997","21.805"
Afghanistan,"AFG","Urban population (% of total population)","SP.URB.TOTL.IN.ZS","1998","YR1998","21.895"
Afghanistan,"AFG","Urban population (% of total population)","SP.URB.TOTL.IN.ZS","1999","YR1999","21.986"
Afghanistan,"AFG","Urban population (% of total population)","SP.URB.TOTL.IN.ZS","2000","YR2000","22.078"
Afghanistan,"AFG","Urban population (% of total population)","SP.URB.TOTL.IN.ZS","2001","YR2001","22.169"
Afghanistan,"AFG","Urban population (% of total population)","SP.URB.TOTL.IN.ZS","2002","YR2002","22.261"
Afghanistan,"AFG","Urban population (% of total population)","SP.URB.TOTL.IN.ZS","2003","YR2003","22.353"
Afghanistan,"AFG","Urban population (% of total population)","SP.URB.TOTL.IN.ZS","2004","YR2004","22.5"
Afghanistan,"AFG","Urban population (% of total population)","SP.URB.TOTL.IN.ZS","2005","YR2005","22.703"
