WEO Country Group Code,WEO Subject Code,Country Group Name,Subject Descriptor,Subject Notes,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,Estimates Start After
1,NGDP_RPCH,World,"Gross domestic product, constant prices",,Percent change,,,2.072,1.944,0.683,2.654,4.579,3.65,3.628,3.871,4.676,3.805,3.426,2.685,2.331,2.041,3.23,3.359,3.926,4.013,2.577,3.547,4.799,2.446,2.902,4.256,5.422,4.857,5.421,5.559,3.051,-0.086,5.432,4.285,3.572,3.415,3.52,3.424,3.251,3.747,3.612,2.865,-3.063,6.108,3.585,3.551,3.404,3.378,3.315,3.263,
1,NGDP_RPCHMK,World,"Gross domestic product, constant prices",,Percent change (market exchange rates),,,1.648,2.01,0.456,2.801,4.833,3.681,3.383,3.762,4.577,3.805,3.15,1.965,2.535,1.422,3.157,2.925,3.343,3.502,2.341,3.162,4.218,1.672,1.897,2.857,4.035,3.559,3.948,3.837,1.576,-2.009,4.177,3.074,2.507,2.592,2.811,2.832,2.602,3.247,3.151,2.487,-3.456,5.805,3.489,3.115,2.819,2.827,2.785,2.736,
1,NGDPD,World,"Gross domestic product, current prices",,U.S. dollars,Billions,,"11,237.56","11,493.50","11,281.39","11,583.90","11,997.41","12,523.33","14,771.98","17,008.95","19,125.34","20,122.14","23,654.02","24,492.48","25,328.26","26,039.54","27,985.29","31,199.71","32,068.87","31,979.65","31,824.48","32,949.69","34,039.87","33,788.31","34,900.09","39,193.34","44,116.92","47,792.25","51,762.96","58,443.07","64,108.44","60,731.15","66,435.82","73,747.75","75,116.96","77,290.82","79,321.72","75,042.63","76,267.38","80,945.41","86,084.96","87,536.34","85,238.62","96,292.57","103,867.11","110,751.39","117,007.75","123,297.35","129,728.88","136,383.60",
1,PPPGDP,World,"Gross domestic product, current prices",,Purchasing power parity; international dollars,Billions,,"13,393.16","14,919.80","15,896.80","16,920.52","18,305.64","19,562.44","20,648.95","21,959.55","23,764.99","25,605.08","27,632.85","29,269.24","33,243.35","34,693.19","36,478.41","38,608.60","40,826.48","43,211.13","44,893.37","47,091.18","50,461.92","52,835.18","55,175.36","58,541.87","63,283.58","68,372.36","74,217.90","80,339.74","84,267.28","84,476.60","90,032.78","95,542.74","100,530.29","105,453.40","109,349.96","111,568.48","115,863.06","122,024.40","129,365.75","135,346.42","132,487.13","146,124.42","160,244.16","170,830.43","180,919.05","190,793.81","200,928.87","211,529.93",
1,NGDP_D,World,"Gross domestic product, deflator",,"Index, 2000=100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,NGDPRPPPPC,World,"Gross domestic product per capita, constant prices",,Purchasing power parity; 2017 international dollar,Units,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,PPPPC,World,"Gross domestic product per capita, current prices",,Purchasing power parity; international dollars,Units,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,NGAP_NPGDP,World,Output gap,,Percent of potential GDP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,PPPSH,World,Gross domestic product based on purchasing-power-parity (PPP) share of world total,"These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.  For further information see Box 1.1 in the October 2020 World Economic Outlook, ""Revised Purchasing Power Parity Weights"" in the July 2014 WEO Update, Box A2 in the April 2004 World Economic Outlook, Box A1 in the May 2000 World Economic Outlook, and Annex IV in the May 1993 World Economic Outlook for summaries of the revised PPP-based weights; and Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",Percent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,NID_NGDP,World,Investment,,Percent of GDP,,,26.404,25.856,24.293,23.84,24.832,24.543,24.4,24.811,25.701,26.166,24.277,23.756,24.216,23.75,24.127,24.252,24.146,24.09,23.784,23.799,24.299,23.509,22.858,23.053,23.79,24.159,24.659,25.261,25.29,23.333,24.503,25.27,25.465,25.474,25.805,25.856,25.415,25.959,26.533,26.599,26.449,26.718,27.27,27.558,27.707,27.837,27.958,28.045,
